Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2008,31.68652274664783,993.7541623727753,1421.3607836223398,26.585520145164526,19.247754251982936,68.30655970731083,1.2653759456326366
2009,26.992644431181873,992.5775201297529,971.6247343344229,26.51465616634043,18.39340556883565,65.14789033768822,1.139211878279743
2010,25.116065644596922,989.6584720397656,896.2193350736271,26.516966470993836,17.684947098273188,62.46033770439093,1.3787829296120027
2011,28.216671060820417,987.0480085405478,916.3206122795788,26.59424053509016,18.04864421127375,63.561987775844294,1.5481965718397221
2012,27.946086790461344,986.0331037200017,884.1185856454099,26.50404483380902,18.419653256103732,65.23137680732984,1.6252126658417032
2013,31.557799917601436,985.7454323149304,817.4825005371719,26.560721491796798,18.794569405901363,66.30378977478459,1.6683949196471053
2014,33.403861938883054,985.5829578178586,728.5550918338935,26.792582661451956,18.99803676454611,66.24963903925412,1.6893745043227162
2015,31.02976507568006,985.2978025079665,631.1128190689843,26.74139766475449,18.88965810891791,66.1097727209458,1.670487331753109
2016,27.875013419030864,985.1397475460417,546.2119487834244,26.647262346902085,18.70312197922409,65.82183757051146,1.6177121553447875
2017,26.025417115965574,985.0514901706068,572.0181159368999,26.72856034471354,18.5835042492188,65.27914290671394,1.5599394973774607
2018,26.86406386977682,986.1306270981005,790.5271750311954,27.13197769127161,18.283627134971898,63.192140469161465,1.5271344032218657
2019,27.06095254786282,988.002187630555,1086.573235314753,27.719470948346835,17.70944235290361,59.441753900329495,1.5296123913654194
2020,26.70344799372478,989.3428305535325,1296.4957008811436,27.84273910705492,17.44157367498369,57.84207642801996,1.5472610600963506
2021,25.957132075135362,989.8695294979276,1388.381414340125,27.80446256938198,17.29808994393758,57.234541141630245,1.6001422530359897
2022,25.101402146965675,989.9868087186384,1412.105049932006,27.77428105037122,17.132150329888386,56.722191913594884,1.6394773030198555
